Date,Open,High,Low,Close,Adj Close
2010-08-26,125.779999,125.779999,122.779999,122.779999,108.526037
2010-08-27,123.830002,124.800003,122.419998,124.730003,110.249659
2010-08-30,125.080002,125.269997,123.400002,123.400002,109.074061
2010-08-31,123.309998,123.989998,122.279999,123.129997,108.835403
2010-09-01,125.309998,126.309998,124.519997,125.769997,111.168915
2010-09-02,126.029999,126.230003,124.650002,125.040001,110.523668
2010-09-03,126.220001,127.599998,125.900002,127.580002,112.768791
2010-09-07,126.989998,127.360001,125.879997,125.949997,111.328019
2010-09-08,126.019997,126.519997,125.389999,126.080002,111.442931
2010-09-09,127.269997,127.57,126.150002,126.360001,111.690424
2010-09-10,126.989998,128.289993,126.260002,127.989998,113.131189
2010-09-13,128.630005,130.0,128.520004,129.610001,114.56312
2010-09-14,128.429993,129.919998,128.429993,128.850006,113.891356
2010-09-15,128.649994,129.960007,128.539993,129.429993,114.40401
2010-09-16,129.199997,129.949997,128.800003,129.669998,114.616152
2010-09-17,129.919998,130.600006,129.699997,130.190002,115.075787
2010-09-20,130.240005,132.089996,130.110001,131.789993,116.49003
2010-09-21,131.449997,132.800003,130.779999,131.979996,116.657974
2010-09-22,131.610001,132.580002,131.399994,132.570007,117.179489
2010-09-23,131.419998,132.779999,131.220001,131.669998,116.383965
2010-09-24,132.419998,134.149994,132.339996,134.110001,118.540699
2010-09-27,133.509995,135.0,133.509995,134.649994,119.018003
2010-09-28,134.669998,135.139999,133.710007,134.889999,119.230145
2010-09-29,134.399994,135.800003,134.339996,135.479996,119.751647
2010-09-30,135.5,136.110001,133.669998,134.139999,118.567215
2010-10-01,135.509995,136.279999,135.089996,135.639999,119.893075
2010-10-04,135.229996,135.919998,134.389999,135.25,119.548352
2010-10-05,136.179993,137.899994,136.119995,137.660004,121.67857
2010-10-06,136.880005,137.960007,136.830002,137.839996,121.837666
2010-10-07,137.919998,138.880005,137.520004,138.720001,122.615508
2010-10-08,138.399994,139.089996,138.059998,138.850006,122.730421
2010-10-11,138.789993,139.940002,138.639999,139.660004,123.446383
2010-10-12,138.399994,139.990005,138.270004,139.850006,123.614327
2010-10-13,139.910004,141.479996,139.779999,140.369995,124.073949
2010-10-14,140.350006,141.5,139.690002,141.5,125.072767
2010-10-15,142.100006,142.100006,140.539993,141.059998,124.683846
2010-10-18,140.899994,143.029999,140.839996,142.830002,126.248365
2010-10-19,137.300003,139.339996,136.699997,138.029999,122.005611
2010-10-20,138.279999,139.869995,138.130005,139.070007,122.924881
2010-10-21,139.809998,140.490005,138.399994,139.830002,123.596645
2010-10-22,140.149994,140.75,139.460007,139.669998,123.455217
2010-10-25,140.419998,141.399994,139.809998,139.839996,123.605479
2010-10-26,139.289993,142.0,138.529999,140.669998,124.339123
2010-10-27,139.520004,141.570007,139.0,141.429993,125.010888
2010-10-28,141.839996,141.949997,140.419998,140.899994,124.542418
2010-10-29,140.899994,144.0,140.75,143.600006,126.928976
2010-11-01,143.639999,144.259995,142.320007,143.320007,126.681484
2010-11-02,143.850006,144.710007,143.710007,143.839996,127.141105
2010-11-03,144.240005,144.460007,142.630005,144.169998,127.432796
2010-11-04,144.820007,146.839996,144.710007,146.789993,129.748627
2010-11-05,145.940002,146.929993,145.669998,146.919998,129.863539
2010-11-08,145.350006,146.580002,145.25,146.460007,130.032228
2010-11-09,146.699997,147.529999,145.630005,146.139999,129.748114
2010-11-10,146.089996,146.789993,145.630005,146.550003,130.11213
2010-11-11,144.699997,145.5,143.350006,145.429993,129.117746
2010-11-12,144.589996,145.770004,143.550003,143.740005,127.617317
2010-11-15,143.889999,144.75,143.270004,143.639999,127.528528
2010-11-16,142.929993,143.380005,141.179993,142.240005,126.285566
